artist,album,score,reviewer,url
Nguzunguzu,The Perfect Lullaby,8.1,Joe Colly,http://pitchfork.com/reviews/albums/15395-the-perfect-lullaby/
Man Man,Life Fantastic,7.4,Ian Cohen,http://pitchfork.com/reviews/albums/15383-life-fantastic/
Curren$y,Covert Coup,7.9,Tom Breihan,http://pitchfork.com/reviews/albums/15385-covert-coup/
Joan as Police Woman,The Deep Field,4.5,David Raposa,http://pitchfork.com/reviews/albums/15387-the-deep-field/
Fredrik,Flora,6.5,Brian Howe,http://pitchfork.com/reviews/albums/15388-flora/
Beastie Boys,Hot Sauce Committee Part Two,7,Mark Richardson,http://pitchfork.com/reviews/albums/15398-hot-sauce-committee-part-two/
Cat's Eyes,Cat's Eyes,7.9,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15397-cats-eyes/
Michael Chapman,Trainsong: Guitar Compositions 1967–2010,7.9,Grayson Currin,http://pitchfork.com/reviews/albums/15384-trainsong-guitar-compositions-19672010-fully-qualified-survivor/
Grails,Deep Politics,7.9,Paul Thompson,http://pitchfork.com/reviews/albums/15390-deep-politics/
The High Llamas,Talahomi Way,6.8,Nick Neyland,http://pitchfork.com/reviews/albums/15354-talahomi-way/
Of Montreal,thecontrollersphere EP,6.6,Matthew Perpetua,http://pitchfork.com/reviews/albums/15360-thecontrollersphere-ep/
Snowman,Absence,8,Joe Tangari,http://pitchfork.com/reviews/albums/15362-absence/
Hyetal,Broadcast,7.2,Joe Colly,http://pitchfork.com/reviews/albums/15370-broadcast/
Jason Forrest,The Everything,7.3,Nate Patrin,http://pitchfork.com/reviews/albums/15247-the-everything/
Zomes,Earth Grid,7,Marc Masters,http://pitchfork.com/reviews/albums/15381-earth-grid/
Big K.R.I.T.,4Eva N a Day,6.8,Jayson Greene,http://pitchfork.com/reviews/albums/16375-big-krit-4eva-n-a-day/
Rimar,Closer EP,7.3,Brandon Soderberg,http://pitchfork.com/reviews/albums/16391-rimar-closer/
White Hills,Frying on This Rock,6.4,Paul Thompson,http://pitchfork.com/reviews/albums/16380-frying-on-this-rock/
DVA,Pretty Ugly,6.4,Tim Finney,http://pitchfork.com/reviews/albums/16377-pretty-ugly/
The Phenomenal Handclap Band,Form & Control,4.2,Eric Grandy,http://pitchfork.com/reviews/albums/16385-phenomenal-handclap-band-form-control/
Xiu Xiu,Always,7.3,Carrie Battan,http://pitchfork.com/reviews/albums/16378-always/
Azusa Plane,Where the Sands Turn to Gold,8.5,Ned Raggett,http://pitchfork.com/reviews/albums/16379-where-the-sands-turn-to-gold/
Primitive Weapons,The Shadow Gallery,7.9,David Raposa,http://pitchfork.com/reviews/albums/16388-primitive-weapons-the-shadow-gallery/
Dunes,Noctiluca,7.6,Evan Minsker,http://pitchfork.com/reviews/albums/16386-dunes-noctiluca/
Phédre,Phédre,6.7,Andrew Ryce,http://pitchfork.com/reviews/albums/16389-phedre/
Rocket Juice & the Moon,Rocket Juice & the Moon,6.1,Mike Powell,http://pitchfork.com/reviews/albums/16365-rocket-juice-the-moon/
Curren$y,Muscle Car Chronicles,3.8,Jordan Sargent,http://pitchfork.com/reviews/albums/16384-muscle-car-chronicles/
Fort Romeau,Kingdoms,7.5,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/16381-kingdoms/
Spoek Mathambo,Father Creeper,5.7,Jayson Greene,http://pitchfork.com/reviews/albums/16382-spoek-mathambo-father-creeper/
Figurines,Figurines,6.3,Paul Thompson,http://pitchfork.com/reviews/albums/15358-figurines/
Explosions in the Sky,"Take Care, Take Care, Take Care",7.2,Joe Tangari,http://pitchfork.com/reviews/albums/15327-take-care-take-care-take-care/
MF DOOM,Operation: Doomsday [Lunchbox Edition],8.9,Ian Cohen,http://pitchfork.com/reviews/albums/15359-operation-doomsday/
Max B,Vigilante Season,7.7,David Drake,http://pitchfork.com/reviews/albums/15339-vigilante-season/
Gatto Fritto,Gatto Fritto,7.4,Brandon Soderberg,http://pitchfork.com/reviews/albums/15355-gatto-fritto/
Eternal Tapestry,Beyond the 4th Door,7.3,Grayson Currin,http://pitchfork.com/reviews/albums/15352-beyond-the-4th-door/
Cass McCombs,WIT'S END,8.4,Ryan Dombal,http://pitchfork.com/reviews/albums/15343-wits-end/
E-40,Revenue Retrievin': Graveyard Shift,8.3,David Drake,http://pitchfork.com/reviews/albums/15318-revenue-retrievin-overtime-shift-graveyard-shift/
The Fresh & Onlys,Secret Walls EP,7.5,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15341-secret-walls-ep/
Bass Drum of Death,GB City,6.2,David Bevan,http://pitchfork.com/reviews/albums/15350-gb-city/
TV Ghost,Mass Dream,7.6,Marc Masters,http://pitchfork.com/reviews/albums/15348-mass-dream/
Autechre,EPs 1991-2002,8,Jess Harvell,http://pitchfork.com/reviews/albums/15330-eps-1991-2002/
Jonny,Jonny,6.2,David Bevan,http://pitchfork.com/reviews/albums/15344-jonny/
Young Widows,In and Out of Youth and Lightness,5.7,Tom Breihan,http://pitchfork.com/reviews/albums/15342-in-and-out-of-youth-and-lightness/
Southeast Engine,Canary,7.3,David Bevan,http://pitchfork.com/reviews/albums/15345-canary/
The Men,Open Your Heart,8.5,Ian Cohen,http://pitchfork.com/reviews/albums/16295-open-your-heart/
Nite Jewel,One Second of Love,7.1,Lindsay Zoladz,http://pitchfork.com/reviews/albums/16347-nite-jewel-one-second-of-love/
BBU,bell hooks,7.8,Marc Hogan,http://pitchfork.com/reviews/albums/16353-bell-hooks/
Belbury Poly,The Belbury Tales,7.2,Nick Neyland,http://pitchfork.com/reviews/albums/16308-the-belbury-tales/
Julia Holter,Ekstasis,8.6,Mark Richardson,http://pitchfork.com/reviews/albums/16352-ekstasis/
Scuba,Personality,8.1,Andrew Ryce,http://pitchfork.com/reviews/albums/16341-personality/
Christian Mistress,Possession,7.6,Grayson Currin,http://pitchfork.com/reviews/albums/16350-possession/
Sophia Knapp,Into the Waves,7,Amanda Petrusich,http://pitchfork.com/reviews/albums/16348-into-the-waves/
Terry Malts,Killing Time,6.9,Evan Minsker,http://pitchfork.com/reviews/albums/16349-terry-malts-killing-time/
Pallbearer,Sorrow and Extinction,8.4,Brandon Stosuy,http://pitchfork.com/reviews/albums/16345-sorrow-and-extinction/
School of Seven Bells,Ghostory,6.9,Ian Cohen,http://pitchfork.com/reviews/albums/16337-ghostory/
The Ting Tings,Sounds From Nowheresville,1.8,Hari Ashurst,http://pitchfork.com/reviews/albums/16334-the-ting-tings-sounds-from-nowheresville/
Disappears,Pre Language,6.2,Nick Neyland,http://pitchfork.com/reviews/albums/16343-pre-language/
Bodyguard,Silica Gel,5.2,Nick Neyland,http://pitchfork.com/reviews/albums/16346-silica-gel/
Sinéad O'Connor,How About I Be Me (And You Be You)?,7.6,Stephen M. Deusner,http://pitchfork.com/reviews/albums/16339-how-about-i-be-me-and-you-be-you/
Archers of Loaf,Vee Vee (Remastered),8.4,Andrew Gaerig,http://pitchfork.com/reviews/albums/16333-vee-vee/
Gang Colours,The Keychain Collection,7,Andrew Ryce,http://pitchfork.com/reviews/albums/16338-the-keychain-collection/
Pond,"Beard, Wives, Denim",7,Zach Kelly,http://pitchfork.com/reviews/albums/16340-pond-beard-wives-denim/
Lapalux,When You're Gone EP,7.4,Jonah Bromwich,http://pitchfork.com/reviews/albums/16329-when-youre-gone-ep/
Big K.R.I.T.,Return of 4Eva,8.2,Tom Breihan,http://pitchfork.com/reviews/albums/15312-return-of-4eva/
Pantha du Prince,XI versions of Black Noise,6.5,Andrew Gaerig,http://pitchfork.com/reviews/albums/15333-xi-versions-of-black-noise/
Guillemots,Walk the River,5.9,Marc Hogan,http://pitchfork.com/reviews/albums/15282-walk-the-river/
Little Scream,The Golden Record,8.1,Grayson Currin,http://pitchfork.com/reviews/albums/15338-the-golden-record/
Shannon and the Clams,Sleep Talk,7.7,Martin Douglas,http://pitchfork.com/reviews/albums/15336-sleep-talk/
O'Death,Outside,7.9,Amanda Petrusich,http://pitchfork.com/reviews/albums/15315-outside/
Matthewdavid,Outmind,7,Joe Colly,http://pitchfork.com/reviews/albums/15334-outmind/
Family Portrait,Family Portrait,7.3,Zach Kelly,http://pitchfork.com/reviews/albums/15301-family-portrait/
Metronomy,The English Riviera,6.4,Joshua Love,http://pitchfork.com/reviews/albums/15337-the-english-riviera/
tUnE-yArDs,w h o k i l l,8.8,Matthew Perpetua,http://pitchfork.com/reviews/albums/15321-w-h-o-k-i-l-l/
Grouper,A I A : Alien Observer,8.1,Mark Richardson,http://pitchfork.com/reviews/albums/15332-a-i-a-alien-observer-a-i-a-dream-loss/
Kode9 & the Spaceape,Black Sun,7.7,Nate Patrin,http://pitchfork.com/reviews/albums/15310-black-sun/
The Head and the Heart,The Head and the Heart,3.8,Stephen M. Deusner,http://pitchfork.com/reviews/albums/15314-the-head-and-the-heart/
Lilacs & Champagne,Lilacs & Champagne,7.8,Nate Patrin,http://pitchfork.com/reviews/albums/16300-lilacs-champagne/
Frankie Rose,Interstellar,8.4,Jayson Greene,http://pitchfork.com/reviews/albums/16304-frankie-rose-interstellar/
Keith Fullerton Whitman,Generators,7.5,Mark Richardson,http://pitchfork.com/reviews/albums/16315-generator/
Nick Catchdubs,After Hours,7.8,David Drake,http://pitchfork.com/reviews/albums/16316-jackie-chain-after-hours/
La Big Vic,Dub the World! Actually Remixed,7.4,Martin Douglas,http://pitchfork.com/reviews/albums/16310-dub-the-world-actually-remixed/
Mind Spiders,Meltdown,7.7,Evan Minsker,http://pitchfork.com/reviews/albums/16272-mind-spiders-meltdown/
Sleigh Bells,Reign of Terror,8.2,Matthew Perpetua,http://pitchfork.com/reviews/albums/16297-reign-of-terror/
Ital,Hive Mind,8,Andrew Gaerig,http://pitchfork.com/reviews/albums/16256-hive-mind/
My Best Fiend,In Ghostlike Fading,6.2,Ian Cohen,http://pitchfork.com/reviews/albums/16281-in-ghostlike-fading/
Pilgrim,Misery Wizard,7.2,Grayson Currin,http://pitchfork.com/reviews/albums/16305-misery-wizard/
Cursive,I Am Gemini,4.7,Ian Cohen,http://pitchfork.com/reviews/albums/16291-i-am-gemini/
Grimes,Visions,8.5,Lindsay Zoladz,http://pitchfork.com/reviews/albums/16211-grimes-visions/
Matt Elliott,The Broken Man,7.1,Nick Neyland,http://pitchfork.com/reviews/albums/16294-the-broken-man/
Howlin' Rain,The Russian Wilds,6.4,Aaron Leitko,http://pitchfork.com/reviews/albums/16302-howlin-rain-the-russian-wilds/
Liberteer,Better to Die on Your Feet Than Live on Your Knees,7.8,Brandon Stosuy,http://pitchfork.com/reviews/albums/16299-better-to-die-on-your-feet-than-live-on-your-knees/
Lucky Dragons,Existers,4.8,Brian Howe,http://pitchfork.com/reviews/albums/16303-existers/
Wiz Khalifa,Rolling Papers,7.2,Sean Fennessey,http://pitchfork.com/reviews/albums/15294-rolling-papers/
The Raveonettes,Raven in the Grave,5.7,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15295-raven-in-the-grave/
Clams Casino,Instrumental Mixtape,8.2,Brandon Soderberg,http://pitchfork.com/reviews/albums/15292-instrumental-mixtape/
Snoop Dogg,Doggumentary,5.5,Tom Breihan,http://pitchfork.com/reviews/albums/15303-doggumentary/
Mazes,A Thousand Heys,6.2,Ian Cohen,http://pitchfork.com/reviews/albums/15228-a-thousand-heys/
Burial,Street Halo,8,Philip Sherburne,http://pitchfork.com/reviews/albums/15293-street-halo/
Lil B,Illusions Of Grandeur,6,Ian Cohen,http://pitchfork.com/reviews/albums/15291-illusions-of-grandeur/
The Chemical Brothers,Hanna Original Soundtrack,6.2,Andrew Gaerig,http://pitchfork.com/reviews/albums/15289-hanna-ost/
Craft Spells,Idle Labor,7.7,Ian Cohen,http://pitchfork.com/reviews/albums/15280-idle-labor/
Maritime,Human Hearts,7.2,Matt LeMay,http://pitchfork.com/reviews/albums/15298-human-hearts/
The Kills,Blood Pressures,6.4,Stuart Berman,http://pitchfork.com/reviews/albums/15288-blood-pressures/
Pusha T,Fear of God,5.6,Tom Breihan,http://pitchfork.com/reviews/albums/15277-fear-of-god/
Alela Diane,Alela Diane & Wild Divine,7.5,Stephen M. Deusner,http://pitchfork.com/reviews/albums/15276-alela-diane-wild-divine/
J.Rocc,Some Cold Rock Stuf,6.8,Nate Patrin,http://pitchfork.com/reviews/albums/15269-some-cold-rock-stuf/
Chris Forsyth,Paranoid Cat,7.1,Marc Masters,http://pitchfork.com/reviews/albums/15278-paranoid-cat/
The Flaming Lips,The Flaming Lips With Neon Indian,7.4,Marc Masters,http://pitchfork.com/reviews/albums/15286-the-flaming-lips-with-neon-indian/
The Death Set,Michel Poiccard,6.1,Zach Kelly,http://pitchfork.com/reviews/albums/15268-michel-poiccard/
Royal Bangs,Flux Outside,6.9,Paul Thompson,http://pitchfork.com/reviews/albums/15290-flux-outside/
UNKLE,Only the Lonely EP,6,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15275-only-the-lonely-ep/
Josh T. Pearson,Last of the Country Gentlemen,4,Stephen M. Deusner,http://pitchfork.com/reviews/albums/15222-last-of-the-country-gentlemen/
Shearwater,Animal Joy,6.9,Ian Cohen,http://pitchfork.com/reviews/albums/16277-animal-joy/
Gucci Mane,Trap Back,7.8,Jayson Greene,http://pitchfork.com/reviews/albums/16280-gucci-mane-trap-back/
The Lemonheads,The Hotel Sessions,7.3,Stephen M. Deusner,http://pitchfork.com/reviews/albums/16298-the-hotel-sessions-laughing-all-the-way-to-the-cleaners/
Orcas,Orcas,7.7,Brian Howe,http://pitchfork.com/reviews/albums/16293-orcas/
Ólafur Arnalds,Living Room Songs,4.5,Joe Colly,http://pitchfork.com/reviews/albums/16296-living-room-songs-another-happy-day-ost/
Burial,Kindred EP,8.7,Andrew Ryce,http://pitchfork.com/reviews/albums/16292-kindred/
Islands,A Sleep & a Forgetting,7.9,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/16287-a-sleep-a-forgetting/
Suzanne Ciani,Lixiviation,7.4,Nick Neyland,http://pitchfork.com/reviews/albums/16284-lixiviation/
Alcest,Les Voyages de l'Âme,6.9,Brandon Stosuy,http://pitchfork.com/reviews/albums/16289-les-voyages-de-lame/
Heartless Bastards,Arrow,6.4,Stephen M. Deusner,http://pitchfork.com/reviews/albums/16285-arrow/
Earth,"Angels of Darkness, Demons of Light II",7.9,Grayson Currin,http://pitchfork.com/reviews/albums/16283-angels-of-darkness-demons-of-light-ii/
Porter Ricks,Biokinetics,8.5,Philip Sherburne,http://pitchfork.com/reviews/albums/16288-biokinetics/
Lil B,White Flame,6.3,Jordan Sargent,http://pitchfork.com/reviews/albums/16290-white-flame/
Alexander,Alexander,5.9,Grayson Currin,http://pitchfork.com/reviews/albums/15252-alexander/
The Mountain Goats,All Eternals Deck,8.1,Grayson Currin,http://pitchfork.com/reviews/albums/15259-all-eternals-deck/
All Tiny Creatures,Harbors,7.8,Nick Neyland,http://pitchfork.com/reviews/albums/15203-harbors/
Orchestre Poly-Rythmo de Cotonou,Cotonou Club,7.7,Joe Tangari,http://pitchfork.com/reviews/albums/15232-cotonou-club/
Capillary Action,Capsized,7.1,Joe Tangari,http://pitchfork.com/reviews/albums/15249-capsized/
True Widow,As High As The Highest Heavens And From The Center To The Circumference Of The Earth,7.4,Nick Neyland,http://pitchfork.com/reviews/albums/15202-as-high-as-the-highest-heavens-and-from-the-center-to-the-circumference-of-the-earth/
Peter Bjorn and John,Gimme Some,6.2,Eric Grandy,http://pitchfork.com/reviews/albums/15251-gimme-some/
Jessie J,Who You Are,2,Matthew Perpetua,http://pitchfork.com/reviews/albums/15246-who-you-are/
Derrick Carter,Fabric 56,5.1,Andrew Gaerig,http://pitchfork.com/reviews/albums/15241-fabric-56/
Moon Duo,Mazes,7.5,Zach Kelly,http://pitchfork.com/reviews/albums/15245-mazes/
Primary 1,Other People,6.6,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15244-other-people/
Queen,Queen,6.7,Dominique Leone,http://pitchfork.com/reviews/albums/15221-reissues/
Ellen Allien,Dust Remixes,6.3,Andrew Gaerig,http://pitchfork.com/reviews/albums/15234-dust-remixes/
FaltyDL,You Stand Uncertain,6.9,Andrew Gaerig,http://pitchfork.com/reviews/albums/15243-you-stand-uncertain/
Hard Mix,Defaults,7.2,Sam Hockley-Smith,http://pitchfork.com/reviews/albums/15250-defaults/
Ed Askew,Imperfiction,7.4,Paul Thompson,http://pitchfork.com/reviews/albums/15248-imperfiction/
Of Montreal,Paralytic Stalks,4.6,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/16250-paralytic-stalks/
A Place to Bury Strangers,Onwards to the Wall EP,5.8,Zach Kelly,http://pitchfork.com/reviews/albums/16244-a-place-to-bury-strangers-onward-to-the-wall/
The Doozer,Keep it Together,5.8,Martin Douglas,http://pitchfork.com/reviews/albums/16245-keep-it-together/
Pete Swanson,Man With Potential,8.5,Marc Masters,http://pitchfork.com/reviews/albums/16247-man-with-potential/
Royal Baths,Better Luck Next Life,6.4,Aaron Leitko,http://pitchfork.com/reviews/albums/16251-royal-baths-better-luck-next-life/
AraabMuzik,Instrumental University,6.4,Carrie Battan,http://pitchfork.com/reviews/albums/16246-instrumental-university/
Blondes,Blondes,7.5,Eric Grandy,http://pitchfork.com/reviews/albums/16230-blondes-blondes/
Trailer Trash Tracys,Ester,5.5,Hari Ashurst,http://pitchfork.com/reviews/albums/16239-trailer-trash-tracys-ester/
Prinzhorn Dance School,Clay Class,7,Stuart Berman,http://pitchfork.com/reviews/albums/16231-prinzhorn-dance-school/
Pop. 1280,The Horror,7.5,Stuart Berman,http://pitchfork.com/reviews/albums/16243-pop-1280/
Wilco,iTunes Session,6.7,Stephen M. Deusner,http://pitchfork.com/reviews/albums/16227-itunes-sessions/
Windy & Carl,We Will Always Be,7.4,Nick Neyland,http://pitchfork.com/reviews/albums/16222-we-will-always-be/
The Twilight Sad,No One Can Ever Know,7.4,Ian Cohen,http://pitchfork.com/reviews/albums/16189-no-one-can-ever-know/
Benjamin Damage & Doc Daneeka,They!Live,6.1,Tim Finney,http://pitchfork.com/reviews/albums/16241-theylive/
Leonard Cohen,Old Ideas,7.4,Mike Powell,http://pitchfork.com/reviews/albums/16228-leonard-cohen-old-ideas/
Black Bananas,Rad Times Xpress IV,7.8,Stuart Berman,http://pitchfork.com/reviews/albums/16209-black-bananas/
Jason Urick,I Love You,7.9,Marc Masters,http://pitchfork.com/reviews/albums/16236-i-love-you/
Waka Flocka Flame,Lock Out,5,David Turner,http://pitchfork.com/reviews/albums/16237-lock-out/
o F F Love,Probably Love,2.9,Andrew Gaerig,http://pitchfork.com/reviews/albums/16232-probably-love/
Pharoahe Monch,W.A.R.,6.5,Nate Patrin,http://pitchfork.com/reviews/albums/15193-war/
Heidecker & Wood,Starting From Nowhere,4.5,Matthew Perpetua,http://pitchfork.com/reviews/albums/15238-starting-from-nowhere/
Baby Dee,Regifted Light,8,Brian Howe,http://pitchfork.com/reviews/albums/15240-regifted-light/
Peaking Lights,936,7.7,Zach Kelly,http://pitchfork.com/reviews/albums/15216-936/
Leika,Space on Tuesday,5.3,David Raposa,http://pitchfork.com/reviews/albums/15217-space-on-tuesday/
Alex Turner,Submarine OST,7.6,Paul Thompson,http://pitchfork.com/reviews/albums/15224-submarine-ost/
Belong,Common Era,5.9,Brian Howe,http://pitchfork.com/reviews/albums/15235-common-era/
Cheveu,1000,7.5,David Raposa,http://pitchfork.com/reviews/albums/15237-1000/
Nick Lowe,Labour of Lust [Reissue],8.4,David Bevan,http://pitchfork.com/reviews/albums/15236-labour-of-lust/
Metal Mountains,Golden Trees,7.1,Marc Masters,http://pitchfork.com/reviews/albums/15220-golden-trees/
The Strokes,Angles,5.9,Ryan Dombal,http://pitchfork.com/reviews/albums/15230-angles/
Ramadanman,FabricLive 56,7.7,Andrew Gaerig,http://pitchfork.com/reviews/albums/15229-fabriclive-56/
BOAT,Dress Like Your Idols,7.6,Marc Hogan,http://pitchfork.com/reviews/albums/15199-dress-like-your-idols/
Davila 666,Tan Bajo,7.7,Marc Hogan,http://pitchfork.com/reviews/albums/15223-tan-bajo/
Craig Finn,Clear Heart Full Eyes,6,Stephen M. Deusner,http://pitchfork.com/reviews/albums/16201-clear-heart-full-eyes/
DropxLife,Furthur,6.2,Andrew Ryce,http://pitchfork.com/reviews/albums/16204-furthur/
Lamb of God,Resolution,3.9,Grayson Currin,http://pitchfork.com/reviews/albums/16198-resolution/
First Aid Kit,The Lion's Roar,7.6,Rachael Maddux,http://pitchfork.com/reviews/albums/16205-the-lions-roar/
Richard Youngs,Amaranthine,7,Jess Harvell,http://pitchfork.com/reviews/albums/16206-amaranthine/
Cloud Nothings,Attack on Memory,8.6,Ian Cohen,http://pitchfork.com/reviews/albums/16158-attack-on-memory/
Dizzee Rascal,DirteeTV.com,7,Jess Harvell,http://pitchfork.com/reviews/albums/16190-dirteetvcom/
Nada Surf,The Stars Are Indifferent to Astronomy,4.4,Eric Grandy,http://pitchfork.com/reviews/albums/16187-nada-surf-the-stars-are-indifferent-to-astronomy/
Gangrene,Vodka & Ayahuasca,7.1,Nate Patrin,http://pitchfork.com/reviews/albums/16168-gangrene-vodka-ayahuasca/
Hubble,Hubble Drums,7.3,Emilie Friedlander,http://pitchfork.com/reviews/albums/16191-hubble/
Chairlift,Something,8,Matthew Perpetua,http://pitchfork.com/reviews/albums/16183-something/
Machinedrum,SXLND EP,6.9,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/16196-sxlnd-ep/
Alog,Unemployed,7.9,Mark Richardson,http://pitchfork.com/reviews/albums/16193-unemployed/
Young L,Praktica,7.1,Jordan Sargent,http://pitchfork.com/reviews/albums/16195-praktica/
Plug,Back on Time,6.5,Nick Neyland,http://pitchfork.com/reviews/albums/16184-back-on-time/
"Bonnie Prince"" Billy & the Cairo Gang""",Island Brothers,8,Amanda Petrusich,http://pitchfork.com/reviews/albums/15163-island-brothers/
Wye Oak,Civilian,7.9,David Bevan,http://pitchfork.com/reviews/albums/15195-civilian/
The Joy Formidable,The Big Roar,6.8,Stuart Berman,http://pitchfork.com/reviews/albums/15160-the-big-roar/
Eleventh Dream Day,Riot Now!,5.9,David Bevan,http://pitchfork.com/reviews/albums/15196-riot-now/
The Berg Sans Nipple,Build With Erosion,7,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15191-build-with-erosion/
Cut Copy,A Tale of Two Journeys,6.8,Joe Colly,http://pitchfork.com/reviews/albums/15187-a-tale-of-two-journeys/
Scritti Politti,Absolute,8.8,Tom Ewing,http://pitchfork.com/reviews/albums/15175-absolute/
DeVotchKa,100 Lovers,5.3,David Bevan,http://pitchfork.com/reviews/albums/15186-100-lovers/
Willie Wright,Telling the Truth,7.8,Joshua Love,http://pitchfork.com/reviews/albums/15189-telling-the-truth/
Light Asylum,In Tension EP,7.6,Zach Kelly,http://pitchfork.com/reviews/albums/15169-in-tension-ep/
R.E.M.,Collapse Into Now,6.8,Matt LeMay,http://pitchfork.com/reviews/albums/15184-collapse-into-now/
Six Organs of Admittance,Asleep on the Floodplain,7.8,Grayson Currin,http://pitchfork.com/reviews/albums/15185-asleep-on-the-floodplain/
A Hawk and a Hacksaw,Cervantine,7.8,Paul Thompson,http://pitchfork.com/reviews/albums/15188-cervantine/
Soul Clap,Social Experiment 002,7,Andrew Gaerig,http://pitchfork.com/reviews/albums/15181-social-experiment-002/
Queens of the Stone Age,Queens of the Stone Age [Reissue],8,Stuart Berman,http://pitchfork.com/reviews/albums/14964-queens-of-the-stone-age-reissue/
Parts & Labor,Constant Future,7.6,Tom Breihan,http://pitchfork.com/reviews/albums/15183-constant-future/
Beach Fossils,What a Pleasure EP,7.2,Martin Douglas,http://pitchfork.com/reviews/albums/15161-what-a-pleasure-ep/
Desolate,The Invisible Insurrection,7.5,Andrew Gaerig,http://pitchfork.com/reviews/albums/15177-the-invisible-insurrection/
Matthew Dear,Headcage EP,6.8,Jess Harvell,http://pitchfork.com/reviews/albums/16194-headcage-ep/
Snow Patrol,Fallen Empires,4.8,Hari Ashurst,http://pitchfork.com/reviews/albums/16178-snow-patrol-fallen-empires/
The Kinks,Kinks in Mono,8.5,Joe Tangari,http://pitchfork.com/reviews/albums/16161-kinks-in-mono/
Wold,Freermasonry,8.3,Grayson Currin,http://pitchfork.com/reviews/albums/16147-freermasonry/
Pictureplane,Dimensional Rip 7: Thee Physical Remixes,5,Andrew Ryce,http://pitchfork.com/reviews/albums/16192-dimensional-rip-7-thee-physical-remixes/
Kathleen Edwards,Voyageur,6.4,Stephen M. Deusner,http://pitchfork.com/reviews/albums/16176-voyageur/
Cate Le Bon,CYRK,7.6,Stuart Berman,http://pitchfork.com/reviews/albums/16179-cate-le-bon/
Lupe Fiasco,Friend of the People,4.8,Jayson Greene,http://pitchfork.com/reviews/albums/16186-lupe-fiasco-friend-of-the-people/
Loincloth,Iron Balls of Steel,7.9,Hank Shteamer,http://pitchfork.com/reviews/albums/16188-iron-balls-of-steel/
Expensive Looks,Dark Matters,6.3,Brian Howe,http://pitchfork.com/reviews/albums/16185-dark-matters/
Trent Reznor,The Girl With the Dragon Tattoo OST,7,Andrew Ryce,http://pitchfork.com/reviews/albums/16180-the-girl-with-the-dragon-tattoo/
T.I.,Fuck Da City Up,7.1,David Drake,http://pitchfork.com/reviews/albums/16174-ti-fuck-da-city-up/
Wiley,Evolve or Be Extinct,7.2,Jess Harvell,http://pitchfork.com/reviews/albums/16182-evolve-or-be-extinct/
Cardinal,Hymns,6.4,Joe Tangari,http://pitchfork.com/reviews/albums/16181-hymns/
David Dondero,A Pre-Existing Condition,6,Stephen M. Deusner,http://pitchfork.com/reviews/albums/15144-a-pre-existing-condition/
The Streets,Computers and Blues,5.3,Tom Breihan,http://pitchfork.com/reviews/albums/15099-computers-and-blues/
Danielson,The Best of Gloucester County,7.9,Amanda Petrusich,http://pitchfork.com/reviews/albums/15135-the-best-of-gloucester-county/
Faust,Something Dirty,7.5,Marc Masters,http://pitchfork.com/reviews/albums/15150-something-dirty/
The Skull Defekts,Peer Amid,7.6,Marc Masters,http://pitchfork.com/reviews/albums/15139-peer-amid/
Discodeine,Discodeine,5.3,Joshua Love,http://pitchfork.com/reviews/albums/15148-discodeine/
Toro Y Moi,Underneath the Pine,8.3,Ian Cohen,http://pitchfork.com/reviews/albums/15129-underneath-the-pine/
The Radio Dept.,Passive Aggressive: Singles 2002-2010,8.2,Hari Ashurst,http://pitchfork.com/reviews/albums/15035-passive-aggressive-singles-2002-2010/
Metal Fingers,Special Herbs: The Box Set Vol. 0-9,7,Jess Harvell,http://pitchfork.com/reviews/albums/15114-special-herbs-the-box-set-vol-0-9/
King Creosote,Thrawn,6.9,David Bevan,http://pitchfork.com/reviews/albums/15146-thrawn/
The Luyas,Too Beautiful to Work,6.5,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15154-too-beautiful-to-work/
Radiohead,The King of Limbs,7.9,Mark Pytlik,http://pitchfork.com/reviews/albums/15149-the-king-of-limbs/
Malachai,Return to the Ugly Side,7.6,Stuart Berman,http://pitchfork.com/reviews/albums/15141-return-to-the-ugly-side/
Porcelain Raft,Gone Blind EP,7.2,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/15145-gone-blind-ep/
The Black Ryder,"Buy the Ticket, Take the Ride",5.6,Ian Cohen,http://pitchfork.com/reviews/albums/15110-buy-the-ticket-take-the-ride/
Neutral Milk Hotel,Box Set,9.5,Mark Richardson,http://pitchfork.com/reviews/albums/16160-box-set/
Cam'ron,Boss of All Bosses 3,5.3,Jordan Sargent,http://pitchfork.com/reviews/albums/16157-boss-of-all-bosses-3/
Alex Chilton,"Free Again: The 1970"" Sessions""",7.8,Stephen M. Deusner,http://pitchfork.com/reviews/albums/16137-free-again-the-1970-sessions/
